path,kind,size_bytes,duration_seconds,codec_name,sample_rate_hz,channels,mime_type,raw_url,sha256
808cy/CY1050.WAV,audio,220546,2.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY1050.WAV,60f377d4f8d3ce61c3e8edb6ac5bc8a060073002dc3585009c955118a9d041fb
808cy/CY1075.WAV,audio,308746,3.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY1075.WAV,704cdfc63dbbfc43884ac47b2361b79aea183af872f90d3498eb22646c8d097b
808cy/CY2500.WAV,audio,132346,1.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY2500.WAV,479adfc574c065d6c3f6a38e48047ff4885331e782b1bde894bcfc6327b8129b
808cy/CY2510.WAV,audio,352846,4.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY2510.WAV,4c314dac351797b5b13a2224b42133d10e477dac55bdbb6ffa2097d2b01eb5e1
808cy/CY2525.WAV,audio,176446,2.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY2525.WAV,85079d61861dc1e5bc1ee8dd30cbd1656b776da2670dcfd8028ae9b5408fffd1
808cy/CY2550.WAV,audio,220546,2.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY2550.WAV,8006625720c2ec1246bd25c345e2e43f9be59396b07af909f6729e971133b941
808cy/CY2575.WAV,audio,308746,3.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY2575.WAV,dddc33ee7a8d030a123cbcdb4b67f57a11b936ee5f5512ab1ecb2a83b3e4e6f9
808cy/CY5000.WAV,audio,132346,1.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY5000.WAV,c9c98fb276990086f76d029ad9aebeb1b6911fd11855b04bef9dc35dbd612ea1
808cy/CY5010.WAV,audio,352846,4.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY5010.WAV,18d5302e8545e9f7208f4181eb35fc77e37496a3ee85f02e5dd6dc7a5e07b1b7
808cy/CY5025.WAV,audio,176446,2.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY5025.WAV,6bec4a9d12d10c93a568bfc9167610f5ffb28aded87413c9c41649ed4af17a1f
808cy/CY5050.WAV,audio,220546,2.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY5050.WAV,3aad28641774c1e7a5502f40ec76d1b219192631547e308ce74c6d4a1c5e70a0
808cy/CY5075.WAV,audio,308746,3.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY5075.WAV,d1806c3878815fcc3816dcef4ab870c67eb67bf27f2dd140f5c25178749525be
808cy/CY7500.WAV,audio,132346,1.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY7500.WAV,98f66cdd15e5118d58046882767a901fede01e1ba8923a55f434e965af7979a5
808cy/CY7510.WAV,audio,352846,4.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY7510.WAV,45f735f28f884fdcc3a0479fb58cc618c377295efe48117907811342f9be2424
